"module name","licenses","repository","licenseUrl","parents"
"@ant-design/charts@0.9.9","MIT*","https://github.com/ant-design/ant-design-charts","https://github.com/ant-design/ant-design-charts/raw/master/README.md","rue03"
"@ant-design/icons@4.6.2","MIT","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react/raw/master/LICENSE","rue03"
"@antv/data-set@0.11.4","MIT","https://github.com/antvis/data-set","https://github.com/antvis/data-set/raw/master/LICENSE","rue03"
"@aws-amplify/ui-react@1.0.6","UNKNOWN","https://github.com/aws-amplify/amplify-js","https://github.com/aws-amplify/amplify-js/raw/master/LICENSE","rue03"
"@craco/craco@5.6.4","Apache-2.0","https://github.com/gsoft-inc/craco","https://github.com/gsoft-inc/craco/raw/master/LICENSE","rue03"
"@doodle3d/clipper-js@1.0.11","MIT","https://github.com/Doodle3D/clipper-js","https://github.com/Doodle3D/clipper-js/raw/master/LICENSE","rue03"
"@formulajs/formulajs@2.4.3","MIT","https://github.com/formulajs/formulajs","https://github.com/formulajs/formulajs/raw/master/LICENSE","rue03"
"@loadable/component@5.13.1","MIT","https://github.com/gregberge/loadable-components","https://github.com/gregberge/loadable-components/raw/master/LICENSE","rue03"
"@testing-library/jest-dom@4.2.4","MIT","https://github.com/testing-library/jest-dom","https://github.com/testing-library/jest-dom/raw/master/LICENSE","rue03"
"@testing-library/react@9.3.2","MIT","https://github.com/testing-library/react-testing-library","https://github.com/testing-library/react-testing-library/raw/master/LICENSE","rue03"
"@testing-library/user-event@7.1.2","MIT","https://github.com/testing-library/user-event","https://github.com/testing-library/user-event/raw/master/LICENSE","rue03"
"@types/chroma-js@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
"@types/cytoscape@3.14.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue03"
